name,date,type,comment,potentials
2019-03-22-New-posting-for-Fe-O,2019-03-22,new posting,New posting for Fe-O,"[{'id': '2019--Byggmastar-J-Nagel-M-Albe-K-et-al--Fe-O', 'key': '521acab0-00b4-4534-884b-218db3cb92ff', 'dois': ['10.1088/1361-648x/ab0931'], 'elements': ['Fe', 'O'], 'othername': None, 'fictional': False}]"
2019-05-14 Correct LAMMPS implementation added,2019-05-14,updated posting,Correct LAMMPS implementation added,"[{'id': '1987--Ackland-G-J-Thetford-R--Mo', 'key': 'ff748ef8-f019-42b2-bdda-b5b5cadd6264', 'dois': ['10.1080/01418618708204464'], 'elements': ['Mo'], 'othername': None, 'fictional': False}]"
2019-05-14 New posting for ferromagnetic Fe,2019-05-14,new posting,New posting for ferromagnetic Fe,"[{'id': '2011--Chiesa-S-Derlet-P-M-Dudarev-S-L-Swygenhoven-H-V--Fe-33', 'key': '3af85e6e-db61-4ac1-b211-1fd36768b400', 'dois': ['0.1088/0953-8984/23/20/206001'], 'elements': ['Fe'], 'othername': None, 'fictional': False}]"
2019-05-14-Correct-LAMMPS-implementation-added,2019-05-14,updated posting,Correct LAMMPS implementation added,"[{'id': '1987--Ackland-G-J-Thetford-R--Mo', 'key': 'ff748ef8-f019-42b2-bdda-b5b5cadd6264', 'dois': ['10.1080/01418618708204464'], 'elements': ['Mo'], 'othername': None, 'fictional': False}]"
2019-05-14-New-posting-for-ferromagnetic-Fe,2019-05-14,new posting,New posting for ferromagnetic Fe,"[{'id': '2011--Chiesa-S-Derlet-P-M-Dudarev-S-L-Swygenhoven-H-V--Fe-33', 'key': '3af85e6e-db61-4ac1-b211-1fd36768b400', 'dois': ['0.1088/0953-8984/23/20/206001'], 'elements': ['Fe'], 'othername': None, 'fictional': False}]"
2019-05-28 Broken links to files in the notes fields of listings fixed,2019-05-28,site change,Broken links to files in the notes fields of listings fixed,[]
2019-05-28 Updated LAMMPS implementation,2019-05-28,updated posting,Updated LAMMPS implementation,"[{'id': '2018--Farkas-D-Caro-A--Fe-Ni-Cr-Co-Cu', 'key': '78392771-83e9-491c-bf4c-39175befd072', 'dois': ['10.1557/jmr.2018.245'], 'elements': ['Fe', 'Ni', 'Cr', 'Co', 'Cu'], 'othername': None, 'fictional': False}]"
2019-05-28-Broken-links-to-files-in-the-notes-fields-of-listings-fixed,2019-05-28,site change,Broken links to files in the notes fields of listings fixed,[]
2019-05-28-Updated-LAMMPS-implementation,2019-05-28,updated posting,Updated LAMMPS implementation,"[{'id': '2018--Farkas-D-Caro-A--Fe-Ni-Cr-Co-Cu', 'key': '78392771-83e9-491c-bf4c-39175befd072', 'dois': ['10.1557/jmr.2018.245'], 'elements': ['Fe', 'Ni', 'Cr', 'Co', 'Cu'], 'othername': None, 'fictional': False}]"
2019-09-05 Linked files were identified as being for the wrong potentials following the 31 July 2018 ,2019-09-05,updated posting,Linked files were identified as being for the wrong potentials following the 31 July 2018 update.  The correct files are now available.,"[{'id': '2015--Asadi-E-Zaeem-M-A-Nouranian-S-Baskes-M-I--Cu', 'key': '68561e5b-0d66-454b-9bf5-379f34026015', 'dois': ['10.1016/j.actamat.2014.12.010'], 'elements': ['Cu'], 'othername': None, 'fictional': False}, {'id': '2015--Asadi-E-Zaeem-M-A-Nouranian-S-Baskes-M-I--Fe', 'key': '10248ab9-24c0-4680-a184-96c05df5900f', 'dois': ['10.1103/physrevb.91.024105'], 'elements': ['Fe'], 'othername': None, 'fictional': False}, {'id': '2015--Asadi-E-Zaeem-M-A-Nouranian-S-Baskes-M-I--Ni', 'key': '33020b5f-4d8d-40e8-87a8-6c1f9bf9ab2c', 'dois': ['10.1016/j.actamat.2014.12.010'], 'elements': ['Ni'], 'othername': None, 'fictional': False}]"
2019-09-05 New postings for In-Ga-N,2019-09-05,new posting,New postings for In-Ga-N,"[{'id': '2017--Zhou-X-W-Jones-R-E-Chu-K--In-Ga-N', 'key': 'f4c3e281-bafc-4d23-9571-a796d8b1053f', 'dois': ['10.1063/1.5001339'], 'elements': ['In', 'Ga', 'N'], 'othername': None, 'fictional': False}]"
2019-09-05-Linked-files-were-identified-as-being-for-the-wrong-potentials-following-the-31-July-2018-,2019-09-05,updated posting,Linked files were identified as being for the wrong potentials following the 31 July 2018 update.  The correct files are now available.,"[{'id': '2015--Asadi-E-Zaeem-M-A-Nouranian-S-Baskes-M-I--Cu', 'key': '68561e5b-0d66-454b-9bf5-379f34026015', 'dois': ['10.1016/j.actamat.2014.12.010'], 'elements': ['Cu'], 'othername': None, 'fictional': False}, {'id': '2015--Asadi-E-Zaeem-M-A-Nouranian-S-Baskes-M-I--Fe', 'key': '10248ab9-24c0-4680-a184-96c05df5900f', 'dois': ['10.1103/physrevb.91.024105'], 'elements': ['Fe'], 'othername': None, 'fictional': False}, {'id': '2015--Asadi-E-Zaeem-M-A-Nouranian-S-Baskes-M-I--Ni', 'key': '33020b5f-4d8d-40e8-87a8-6c1f9bf9ab2c', 'dois': ['10.1016/j.actamat.2014.12.010'], 'elements': ['Ni'], 'othername': None, 'fictional': False}]"
2019-09-05-New-postings-for-In-Ga-N,2019-09-05,new posting,New postings for In-Ga-N,"[{'id': '2017--Zhou-X-W-Jones-R-E-Chu-K--In-Ga-N', 'key': 'f4c3e281-bafc-4d23-9571-a796d8b1053f', 'dois': ['10.1063/1.5001339'], 'elements': ['In', 'Ga', 'N'], 'othername': None, 'fictional': False}]"
2019-10-17 New postings for Fe-Ni-Cr and Cu-Zr,2019-10-17,new posting,New postings for Fe-Ni-Cr and Cu-Zr,"[{'id': '2019--Mendelev-M-I--Fe-Ni-Cr', 'key': '6c5d342a-7e25-467f-a234-d937301f6bc4', 'dois': [], 'elements': ['Fe', 'Ni', 'Cr'], 'othername': None, 'fictional': False}, {'id': '2019--Mendelev-M-I--Cu-Zr', 'key': '2e5ed18c-5fb4-46e4-ae7a-5f50d9429d95', 'dois': [], 'elements': ['Cu', 'Zr'], 'othername': None, 'fictional': False}]"
2019-10-17-New-postings-for-Fe-Ni-Cr-and-Cu-Zr,2019-10-17,new posting,New postings for Fe-Ni-Cr and Cu-Zr,"[{'id': '2019--Mendelev-M-I--Fe-Ni-Cr', 'key': '6c5d342a-7e25-467f-a234-d937301f6bc4', 'dois': [], 'elements': ['Fe', 'Ni', 'Cr'], 'othername': None, 'fictional': False}, {'id': '2019--Mendelev-M-I--Cu-Zr', 'key': '2e5ed18c-5fb4-46e4-ae7a-5f50d9429d95', 'dois': [], 'elements': ['Cu', 'Zr'], 'othername': None, 'fictional': False}]"
2019-10-18 LAMMPS implementations for SNAP Ta added (distributed by LAMMPS),2019-10-18,new posting,LAMMPS implementations for SNAP Ta added (distributed by LAMMPS),"[{'id': '2015--Thompson-A-P-Swiler-L-P-Trott-C-R-et-al--Ta', 'key': '92dfd6c7-21ec-4357-927f-acf3d7ad896c', 'dois': ['10.1016/j.jcp.2014.12.018'], 'elements': ['Ta'], 'othername': None, 'fictional': False}]"
2019-10-18-LAMMPS-implementations-for-SNAP-Ta-added-(distributed-by-LAMMPS),2019-10-18,new posting,LAMMPS implementations for SNAP Ta added (distributed by LAMMPS),"[{'id': '2015--Thompson-A-P-Swiler-L-P-Trott-C-R-et-al--Ta', 'key': '92dfd6c7-21ec-4357-927f-acf3d7ad896c', 'dois': ['10.1016/j.jcp.2014.12.018'], 'elements': ['Ta'], 'othername': None, 'fictional': False}]"
"2019-11-08 New postings for Ni, Ni-Co, Ni-Pd, and Fe-Ni-Cr",2019-11-08,new posting,"New postings for Ni, Ni-Co, Ni-Pd, and Fe-Ni-Cr","[{'id': '2016--Stoller-R-E-Tamm-A-Beland-L-K-et-al--Ni', 'key': '752de65a-c31c-4fbf-9f5d-e0dedce32570', 'dois': ['10.1021/acs.jctc.5b01194'], 'elements': ['Ni'], 'othername': None, 'fictional': False}, {'id': '2016--Beland-L-K-Lu-C-Osetskiy-Y-N-et-al--Ni-Co', 'key': '8435450a-75e2-4c19-885f-ad2bb8ca34e6', 'dois': ['10.1063/1.4942533'], 'elements': ['Ni', 'Co'], 'othername': None, 'fictional': False}, {'id': '2016--Samolyuk-G-D-Beland-L-K-Stocks-G-M-Stoller-R-E--Ni-Pd', 'key': 'da8eac6d-8c82-4430-8464-154964ca235b', 'dois': ['10.1088/0953-8984/28/17/175501'], 'elements': ['Ni', 'Pd'], 'othername': None, 'fictional': False}, {'id': '2017--Beland-L-K-Tamm-A-Mu-S-et-al--Fe-Ni-Cr', 'key': '444cdb82-6c02-47da-8a4a-4008888645ec', 'dois': ['10.1016/j.cpc.2017.05.001'], 'elements': ['Fe', 'Ni', 'Cr'], 'othername': None, 'fictional': False}]"
2019-11-08-New-postings-for-Ni-Ni-Co-Ni-Pd-and-Fe-Ni-Cr,2019-11-08,new posting,"New postings for Ni, Ni-Co, Ni-Pd, and Fe-Ni-Cr","[{'id': '2016--Stoller-R-E-Tamm-A-Beland-L-K-et-al--Ni', 'key': '752de65a-c31c-4fbf-9f5d-e0dedce32570', 'dois': ['10.1021/acs.jctc.5b01194'], 'elements': ['Ni'], 'othername': None, 'fictional': False}, {'id': '2016--Beland-L-K-Lu-C-Osetskiy-Y-N-et-al--Ni-Co', 'key': '8435450a-75e2-4c19-885f-ad2bb8ca34e6', 'dois': ['10.1063/1.4942533'], 'elements': ['Ni', 'Co'], 'othername': None, 'fictional': False}, {'id': '2016--Samolyuk-G-D-Beland-L-K-Stocks-G-M-Stoller-R-E--Ni-Pd', 'key': 'da8eac6d-8c82-4430-8464-154964ca235b', 'dois': ['10.1088/0953-8984/28/17/175501'], 'elements': ['Ni', 'Pd'], 'othername': None, 'fictional': False}, {'id': '2017--Beland-L-K-Tamm-A-Mu-S-et-al--Fe-Ni-Cr', 'key': '444cdb82-6c02-47da-8a4a-4008888645ec', 'dois': ['10.1016/j.cpc.2017.05.001'], 'elements': ['Fe', 'Ni', 'Cr'], 'othername': None, 'fictional': False}]"
2019-12-18 New posting for Fe,2019-12-18,new posting,New posting for Fe,"[{'id': '2020--Byggmastar-J-Granberg-F--Fe', 'key': '114b0f72-8f6d-4ac1-82fb-ac15fd6b7bde', 'dois': ['10.1016/j.jnucmat.2019.151893'], 'elements': ['Fe'], 'othername': None, 'fictional': False}]"
2020-01-15 Corrected parameter file,2020-01-15,updated posting,Corrected parameter file,"[{'id': '2016--Zhou-X-W-Ward-D-K-Foster-M-E--Al-Cu', 'key': 'f1c13bf7-7839-466a-8463-50456aea68dc', 'dois': ['10.1016/j.jallcom.2016.04.055'], 'elements': ['Al', 'Cu'], 'othername': None, 'fictional': False}]"
2020-01-15 New posting for coarse-grained water molecules,2020-01-15,new posting,New posting for coarse-grained water molecules,"[{'id': '2009--Molinero-V-Moore-E-B--water', 'key': 'd60f3a2b-2274-4763-8ace-57f8e69dd244', 'dois': ['10.1021/jp805227c'], 'elements': ['H', 'O'], 'othername': 'water', 'fictional': False}]"
2020-01-15 New posting for iron,2020-01-15,new posting,New posting for iron,"[{'id': '1998--Meyer-R-Entel-P--Fe', 'key': 'bfd028cc-3a49-4a21-9731-56cee899c095', 'dois': ['10.1103/physrevb.57.5140'], 'elements': ['Fe'], 'othername': None, 'fictional': False}]"
2020-03-03 New posting for Cu-Ni,2020-03-03,new posting,New posting for Cu-Ni,"[{'id': '2019--Fischer-F-Schmitz-G-Eich-S-M--Cu-Ni', 'key': '25b0b3dd-4911-495a-8a5c-f95eb0a9d7ae', 'dois': ['10.1016/j.actamat.2019.06.027'], 'elements': ['Cu', 'Ni'], 'othername': None, 'fictional': False}]"
2020-03-15 Corrected parameter files for new LAMMPS versions,2020-03-15,updated posting,Corrected parameter files for new LAMMPS versions,"[{'id': '1987--Ackland-G-J-Thetford-R--Mo', 'key': 'ff748ef8-f019-42b2-bdda-b5b5cadd6264', 'dois': ['10.1080/01418618708204464'], 'elements': ['Mo'], 'othername': None, 'fictional': False}, {'id': '1990--Ackland-G-J-Vitek-V--Cu', 'key': 'e7b1de06-c5f5-44de-9bfe-1cdf769814dc', 'dois': ['10.1103/physrevb.41.10324'], 'elements': ['Cu'], 'othername': None, 'fictional': False}, {'id': '2009--Zhakhovskii-V-V-Inogamov-N-A-Petrov-Y-V-et-al--Al', 'key': '3facf2af-9356-4264-b887-06049430defa', 'dois': ['10.1016/j.apsusc.2009.04.082'], 'elements': ['Al'], 'othername': None, 'fictional': False}, {'id': '2009--Zhakhovskii-V-V-Inogamov-N-A-Petrov-Y-V-et-al--Au', 'key': 'dd5ace05-9089-4586-a1a9-a8a7ac3f4695', 'dois': ['10.1016/j.apsusc.2009.04.082'], 'elements': ['Au'], 'othername': None, 'fictional': False}, {'id': '2011--Bonny-G-Pasianot-R-C-Terentyev-D-Malerba-L--Fe-Cr', 'key': 'c42c513a-f843-41c4-ba4f-3f31316c6a7b', 'dois': ['10.1080/14786435.2010.545780'], 'elements': ['Fe', 'Cr'], 'othername': None, 'fictional': False}, {'id': '2013--Bonny-G-Castin-N-Bullens-J-et-al--Fe-Cr-W', 'key': 'd0b8ed5d-d5bf-4e22-acfb-ccf84a87690b', 'dois': ['10.1088/0953-8984/25/31/315401'], 'elements': ['Fe', 'Cr', 'W'], 'othername': None, 'fictional': False}, {'id': '2013--Smirnova-D-E-Kuksin-A-Y-Starikov-S-V-et-al--U-Mo-Xe', 'key': 'fc5a9a34-b8be-4935-aa63-aa02a15d93b8', 'dois': ['10.1088/0965-0393/21/3/035011'], 'elements': ['U', 'Mo', 'Xe'], 'othername': None, 'fictional': False}, {'id': '2015--Broqvist-P-Kullgren-J-Wolf-M-J-et-al--Ce-O', 'key': '898da38c-c94b-4254-b480-35f3b1ab22ac', 'dois': ['10.1021/acs.jpcc.5b01597'], 'elements': ['Ce', 'O'], 'othername': None, 'fictional': False}]"
2020-03-15 IDs added for all non-LAMMPS implementations. The handling of fictional potentials made co,2020-03-15,site change,"IDs added for all non-LAMMPS implementations. The handling of fictional potentials made consistent with ""real"" potentials.",[]
2020-05-19 New posting for W-Ta,2020-05-19,new posting,New posting for W-Ta,"[{'id': '2019--Chen-Y-Fang-J-Liu-L-et-al--W-Ta', 'key': '04391ce1-60cb-4f77-a20b-33c133e2f594', 'dois': ['10.1016/j.commatsci.2019.03.021'], 'elements': ['W', 'Ta'], 'othername': None, 'fictional': False}]"
2020-07-01 New posting for Si-Au-Al,2020-07-01,new posting,New posting for Si-Au-Al,"[{'id': '2020--Starikov-S-Gordeev-I-Lysogorskiy-Y-et-al--Si-Au-Al', 'key': 'e5d06433-937f-4deb-916a-531f6cbb9ed6', 'dois': ['10.1016/j.commatsci.2020.109891'], 'elements': ['Si', 'Au', 'Al'], 'othername': None, 'fictional': False}]"
2020-07-01 New posting for Ta-He,2020-07-01,new posting,New posting for Ta-He,"[{'id': '2019--Duan-X-Xie-F-Guo-X-et-al--Ta-He', 'key': '278faa04-d121-4744-875d-e085f0b0e5da', 'dois': ['10.1016/j.commatsci.2018.09.057'], 'elements': ['Ta', 'He'], 'othername': None, 'fictional': False}]"
2020-07-30 New posting for Fe,2020-07-30,new posting,New posting for Fe,"[{'id': '2020--Mori-H-Ozaki-T--Fe', 'key': '452f8d27-5d00-4874-93ec-7df62ea02837', 'dois': ['10.1103/physrevmaterials.4.040601'], 'elements': ['Fe'], 'othername': None, 'fictional': False}]"
2020-08-07 LAMMPS-compatible version added,2020-08-07,updated posting,LAMMPS-compatible version added,"[{'id': '2019--Fischer-F-Schmitz-G-Eich-S-M--Cu-Ni', 'key': '25b0b3dd-4911-495a-8a5c-f95eb0a9d7ae', 'dois': ['10.1016/j.actamat.2019.06.027'], 'elements': ['Cu', 'Ni'], 'othername': None, 'fictional': False}]"
2020-08-25 New posting for Au-Rh,2020-08-25,new posting,New posting for Au-Rh,"[{'id': '2021--Wang-G-Xu-Y-Qian-P-Su-Y--Au-Rh', 'key': 'ccd7fceb-a257-40df-812b-b1326955bff1', 'dois': ['10.1016/j.commatsci.2020.110002'], 'elements': ['Au', 'Rh'], 'othername': None, 'fictional': False}]"
2020-09-24 New posting for Cu-N-Ti,2020-09-24,new posting,New posting for Cu-N-Ti,"[{'id': '2020--Miraz-A-S-M-Dhariwal-N-Meng-W-J-et-al--Cu-N-Ti', 'key': '0d7cef74-4ff2-41a8-96c9-290a351cf116', 'dois': ['10.1016/j.matdes.2020.109123'], 'elements': ['Cu', 'N', 'Ti'], 'othername': None, 'fictional': False}]"
2020-10-15 New posting for meta-atom Ta-Hf-Zr-Ti for high-entropy alloys,2020-10-15,new posting,New posting for meta-atom Ta-Hf-Zr-Ti for high-entropy alloys,"[{'id': '2020--Wang-P-Bu-Y-Liu-J-et-al--meta-Ta-Hf-Zr-Ti', 'key': 'f6767938-c162-4b64-8e19-fce722a79e6c', 'dois': ['10.1016/j.mattod.2020.02.017'], 'elements': ['Ta', 'Hf', 'Zr', 'Ti'], 'othername': 'meta-Ta-Hf-Zr-Ti', 'fictional': False}]"
2020-10-30 New posting for Fe-Ni-Cr-Co-Al for high-entropy alloys,2020-10-30,new posting,New posting for Fe-Ni-Cr-Co-Al for high-entropy alloys,"[{'id': '2020--Farkas-D-Caro-A--Fe-Ni-Cr-Co-Al', 'key': '77f9946a-720a-4a94-8026-68fb93ee4ba0', 'dois': ['10.1557/jmr.2020.294'], 'elements': ['Fe', 'Ni', 'Cr', 'Co', 'Al'], 'othername': None, 'fictional': False}]"
2020-11-20 New posting for Ni-Ti,2020-11-20,new posting,New posting for Ni-Ti,"[{'id': '2019--Kavousi-S-Novak-B-R-Baskes-M-I-et-al--Ni-Ti', 'key': '1a658bd2-715a-41f4-9bda-0f2fdeb4dd9a', 'dois': ['10.1088/1361-651x/ab580c'], 'elements': ['Ni', 'Ti'], 'othername': None, 'fictional': False}]"
2020-12-14 A new improved version added,2020-12-14,updated posting,A new improved version added,"[{'id': '2004--Mishin-Y--Ni-Al', 'key': '13051c1b-48f7-47f5-bad7-fc627fe10376', 'dois': ['10.1016/j.actamat.2003.11.026'], 'elements': ['Ni', 'Al'], 'othername': None, 'fictional': False}]"
2020-12-14 A new version added that fixes a small issue with the original,2020-12-14,updated posting,A new version added that fixes a small issue with the original,"[{'id': '2020--Starikov-S-Gordeev-I-Lysogorskiy-Y-et-al--Si-Au-Al', 'key': 'e5d06433-937f-4deb-916a-531f6cbb9ed6', 'dois': ['10.1016/j.commatsci.2020.109891'], 'elements': ['Si', 'Au', 'Al'], 'othername': None, 'fictional': False}]"
2020-12-14 Cross-listings of potentials from the 2NN-MEAM homepage and OpenKIM have been added,2020-12-14,site change,"Cross-listings of potentials from the <a href=""https://cmse.postech.ac.kr/home_2nnmeam"">2NN-MEAM homepage</a> and <a href=""https://openkim.org"">OpenKIM</a> have been added.",[]
2021-03-15 New posting for Al-Sm designed for Al3Sm alloys,2021-03-15,new posting,New posting for Al-Sm designed for Al3Sm alloys,"[{'id': '2021--Mendelev-M--Al-Sm', 'key': 'f33fbb2c-82d8-45c1-8199-eac338de6861', 'dois': [], 'elements': ['Al', 'Sm'], 'othername': None, 'fictional': False}]"
2021-03-15 Ni interaction updated to remove non-zero isolated energy,2021-03-15,updated posting,Ni interaction updated to remove non-zero isolated energy,"[{'id': '2019--Fischer-F-Schmitz-G-Eich-S-M--Cu-Ni', 'key': '25b0b3dd-4911-495a-8a5c-f95eb0a9d7ae', 'dois': ['10.1016/j.actamat.2019.06.027'], 'elements': ['Cu', 'Ni'], 'othername': None, 'fictional': False}]"
2021-03-15 Updated tables and LAMMPS version added,2021-03-15,updated posting,Updated tables and LAMMPS version added,"[{'id': '2015--Eich-S-M-Beinke-D-Schmitz-G--Fe-Cr', 'key': 'dd645cb8-8065-4cdf-96e0-3b0ca893ef60', 'dois': ['10.1016/j.commatsci.2015.03.047'], 'elements': ['Fe', 'Cr'], 'othername': None, 'fictional': False}]"
2021-04-01 New posting for Pd-H-He designed for simulating He bubbles in PdH,2021-04-01,new posting,New posting for Pd-H-He designed for simulating He bubbles in PdH,"[{'id': '2021--Zhou-X-W-Bartelt-N-C-Sills-R-B--Pd-H-He', 'key': '2541a13a-b398-485a-bf90-e4c48674c601', 'dois': ['10.1103/physrevb.103.014108'], 'elements': ['Pd', 'H', 'He'], 'othername': None, 'fictional': False}]"
2021-05-19 New posting for HEA Fe-Ni-Cr-Co-Cu with ZBL for radiation studies,2021-05-19,new posting,New posting for HEA Fe-Ni-Cr-Co-Cu with ZBL for radiation studies,"[{'id': '2021--Deluigi-O-R-Pasianot-R-C-Valencia-F-J-et-al--Fe-Ni-Cr-Co-Cu', 'key': 'f9d8adb8-1bcf-442d-9f1c-130a94f32b16', 'dois': [], 'elements': ['Fe', 'Ni', 'Cr', 'Co', 'Cu'], 'othername': None, 'fictional': False}]"
2021-05-19 New posting for HEA Hf-Nb-Ta-Ti-Zr,2021-05-19,new posting,New posting for HEA Hf-Nb-Ta-Ti-Zr,"[{'id': '2021--Huang-X-Liu-L-Duan-X-et-al--Hf-Nb-Ta-Ti-Zr', 'key': 'ab12e79c-e837-4eb3-b4a1-15ae5029aa62', 'dois': [], 'elements': ['Hf', 'Nb', 'Ta', 'Ti', 'Zr'], 'othername': None, 'fictional': False}]"
